code,urlRecalcStyle,docUrl,ComputationID,startTime,endTime,type
0x4062880,,http://ask.fm/,0,2262398.078258,2262398.125172,execScript
0x4062850,,http://ask.fm/,1,2262398.125281,2262398.125944,execScript
0x4059090,,http://ask.fm/,2,2262398.12604,2262398.126619,execScript
0x4071150,,http://ask.fm/,3,2262398.130509,2262398.130811,execScript
0x40722b0,,http://ask.fm/,4,2262398.131179,-1.0,execScript
0x40722b0,,http://ask.fm/,5,2262398.14458,2262398.145481,layout
0x40722b0,,http://ask.fm/,6,2262398.145438,2262398.145472,layout
0x40722b0,,http://ask.fm/,7,2262398.197602,2262398.197676,layout
0x40722b0,,http://ask.fm/,8,2262398.290476,2262398.290548,layout
0x40722b0,http://ask.fm/stylesheets/base_ltr_packaged.css?1377526500,http://ask.fm/,9,2262398.345207,2262398.369823,recalcStyle
0x40722b0,,http://ask.fm/,10,2262398.369038,2262398.369474,execScript
0x4247430,,http://ask.fm/,11,2262398.369533,2262398.369734,execScript
0x42479b0,http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js,http://ask.fm/,12,2262398.369817,-1.0,execScript
0x42479b0,,http://ask.fm/,13,2262398.370037,2262398.370226,layout
0x42479b0,,http://ask.fm/,14,2262398.370044,2262398.370134,layout
0x42479b0,,http://ask.fm/,15,2262398.370148,2262398.37018,layout
0x42479b0,http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js,http://ask.fm/,16,2262398.508479,2262398.564239,execScript
0x4071f60,,http://ask.fm/,17,2262398.550943,2262398.551227,execScript
0x4247c10,load,http://ask.fm/,18,2262398.564229,2262398.564231,fireEvent
0x4247400,,http://ask.fm/,19,2262398.564297,2262398.564815,execScript
0x4248b00,http://ask.fm/javascripts/lib_packaged.js?1377526500,http://ask.fm/,20,2262398.564898,2262398.589214,execScript
0x4248b00,load,http://ask.fm/,21,2262398.589205,2262398.589207,fireEvent
0x4247900,,http://ask.fm/,22,2262398.58928,2262398.589723,execScript
0x4249760,,http://ask.fm/,23,2262398.589762,2262398.590318,execScript
0x408f010,http://ask.fm/javascripts/base_packaged.js?1377526500,http://ask.fm/,24,2262398.590404,-1.0,execScript
0x408f010,http://ask.fm/javascripts/base_packaged.js?1377526500,http://ask.fm/,25,2262398.594746,2262398.605723,execScript
0x408f010,load,http://ask.fm/,26,2262398.605714,2262398.605716,fireEvent
0x4249880,,http://ask.fm/,27,2262398.605787,2262398.606034,execScript
0x4216680,,http://ask.fm/,28,2262398.606066,2262398.606253,execScript
0x4216c60,,http://ask.fm/,29,2262398.606291,2262398.606574,execScript
0x42495e0,,http://ask.fm/,30,2262398.606619,2262398.607586,execScript
0x4205ae0,,http://ask.fm/,31,2262398.60763,2262398.607853,execScript
0x42480b0,,http://ask.fm/,32,2262398.607886,2262398.608094,execScript
0x4248c70,,http://ask.fm/,33,2262398.60813,2262398.608727,execScript
0x424a190,,http://ask.fm/,34,2262398.610326,2262398.610713,execScript
0x424c180,,http://ask.fm/,35,2262398.629811,2262398.630168,execScript
0x425fc80,http://www.googleadservices.com/pagead/conversion.js,http://ask.fm/,36,2262398.630261,2262398.778496,execScript
0x4268980,load,http://ask.fm/,37,2262398.778489,2262398.77849,fireEvent
0x40914d0,,http://ask.fm/,38,2262398.780402,2262398.786144,execScript
0x426f280,,http://ask.fm/,39,2262398.786218,2262398.786497,execScript
0x426f730,,http://ask.fm/,40,2262398.786565,2262398.786802,execScript
0x426f930,,http://ask.fm/,41,2262398.786888,2262398.787703,execScript
0x426faa0,,http://ask.fm/,42,2262398.787769,2262398.788006,execScript
0x42700e0,,http://ask.fm/,43,2262398.788066,2262398.789173,execScript
0x426f580,,http://ask.fm/,44,2262398.789268,2262398.790221,execScript
0x4271010,,http://ask.fm/,45,2262398.790332,2262398.790583,execScript
0x42721a0,,http://ask.fm/,46,2262398.790633,2262398.790832,execScript
0x42724c0,,http://ask.fm/,47,2262398.790902,2262398.791268,execScript
0x4272680,DOMContentLoaded,http://ask.fm/,48,2262398.791319,2262398.791321,fireEvent
0x4272680,DOMContentLoaded,http://ask.fm/,49,2262398.791323,2262398.842952,fireEvent
0x4272680,,http://ask.fm/,50,2262398.792852,2262398.817935,layout
0x409b4a0,,http://ask.fm/,51,2262398.820178,2262398.82025,layout
0x4274d80,,http://ask.fm/,52,2262398.830408,2262398.830707,layout
0x4274d80,,http://ask.fm/,53,2262398.831221,2262398.831313,layout
0x4274d80,,http://ask.fm/,54,2262398.832176,2262398.832274,layout
0x4274d80,,http://ask.fm/,55,2262398.832481,2262398.832566,layout
0x4274d80,,http://ask.fm/,56,2262398.832879,2262398.832973,layout
0x4274d80,,http://ask.fm/,57,2262398.83329,2262398.833408,layout
0x4274d80,,http://ask.fm/,58,2262398.833795,2262398.833925,layout
0x4274d80,,http://ask.fm/,59,2262398.834232,2262398.834349,layout
0x4274d80,,http://ask.fm/,60,2262398.834733,2262398.834859,layout
0x4274d80,,http://ask.fm/,61,2262398.835348,2262398.835467,layout
0x4274d80,,http://ask.fm/,62,2262398.835805,2262398.83593,layout
0x4274d80,,http://ask.fm/,63,2262398.836247,2262398.836363,layout
0x4274d80,,http://ask.fm/,64,2262398.836734,2262398.83686,layout
0x4274d80,,http://ask.fm/,65,2262398.837065,2262398.837224,layout
0x4274d80,,http://ask.fm/,66,2262398.837501,2262398.837649,layout
0x4274d80,,http://ask.fm/,67,2262398.837821,2262398.837978,layout
0x4274d80,,http://ask.fm/,68,2262398.838666,2262398.838914,layout
0x4274d80,DOMContentLoaded,http://ask.fm/,69,2262398.842956,2262398.842958,fireEvent
0x4274d80,,http://ask.fm/,70,2262398.847127,2262398.847192,layout
0x4274d80,,http://ask.fm/,71,2262398.972908,2262398.973842,layout
0x4274d80,load,http://ask.fm/,72,2262399.061386,2262399.061388,fireEvent
0x4274d80,load,http://ask.fm/,73,2262399.061395,2262399.061396,fireEvent
0x4274d80,load,http://ask.fm/,74,2262399.0614,2262399.061401,fireEvent
0x4274d80,load,http://ask.fm/,75,2262399.061405,2262399.061406,fireEvent
0x4274d80,load,http://ask.fm/,76,2262399.06141,2262399.061411,fireEvent
0x4274d80,load,http://ask.fm/,77,2262399.061416,2262399.061416,fireEvent
0x4274d80,load,http://ask.fm/,78,2262399.061421,2262399.061422,fireEvent
0x4274d80,load,http://ask.fm/,79,2262399.061426,2262399.061427,fireEvent
0x4274d80,load,http://ask.fm/,80,2262399.061431,2262399.061432,fireEvent
0x4274d80,load,http://ask.fm/,81,2262399.061436,2262399.061436,fireEvent
0x4274d80,load,http://ask.fm/,82,2262399.06144,2262399.061441,fireEvent
0x4274d80,load,http://ask.fm/,83,2262399.061445,2262399.061447,fireEvent
0x4274d80,http://b.scorecardresearch.com/beacon.js,http://ask.fm/,84,2262399.066941,2262399.073614,execScript
0x4274d80,load,http://ask.fm/,85,2262399.073628,2262399.07363,fireEvent
0x4274d80,load,http://ask.fm/,86,2262399.073632,2262399.073796,fireEvent
0x4274d80,load,http://ask.fm/,87,2262399.073908,2262399.073909,fireEvent
0x4274d80,load,http://ask.fm/,88,2262399.074513,2262399.074516,fireEvent
0x4274d80,load,http://ask.fm/,89,2262399.074519,2262399.07452,fireEvent
0x4274d80,load,http://ask.fm/,90,2262399.076027,2262399.076029,fireEvent
0x4274d80,load,http://ask.fm/,91,2262399.2322,2262399.232202,fireEvent
0x4274d80,load,http://ask.fm/,92,2262399.232204,2262399.232205,fireEvent
0x4274d80,load,http://ask.fm/,93,2262399.232206,2262399.232207,fireEvent
0x4274d80,load,http://ask.fm/,94,2262399.268774,2262399.268775,fireEvent
0x4274d80,load,http://ask.fm/,95,2262399.268777,2262399.268778,fireEvent
0x4274d80,load,http://ask.fm/,96,2262399.26878,2262399.26878,fireEvent
0x4274d80,load,http://ask.fm/,97,2262399.268787,2262399.268788,fireEvent
0x4274d80,load,http://ask.fm/,98,2262399.268789,2262399.26879,fireEvent
0x4274d80,load,http://ask.fm/,99,2262399.268791,2262399.268792,fireEvent
0x4274d80,,http://ask.fm/,100,2262399.286039,2262399.286321,layout
0x4274d80,load,http://ask.fm/,101,2262399.288534,2262399.288536,fireEvent
0x4274d80,load,http://ask.fm/,102,2262399.288537,2262399.288538,fireEvent
0x4274d80,http://www.google-analytics.com/ga.js,http://ask.fm/,103,2262399.35849,2262399.4141,execScript
0x4274d80,load,http://ask.fm/,104,2262399.414118,2262399.414119,fireEvent
0x4274d80,load,http://ask.fm/,105,2262399.414121,2262399.414212,fireEvent
0x4274d80,load,http://ask.fm/,106,2262399.41592,2262399.415922,fireEvent
0x4274d80,load,http://ask.fm/,107,2262399.415927,2262399.41609,fireEvent
