code,column,url,docUrl,holID,type,row
0x40623d0,39,,http://ask.fm/,0,1,2
0x4062020,31,,http://ask.fm/,1,1,6
0x4061e30,12,,http://ask.fm/,2,1,23
0x40721a0,12,,http://ask.fm/,3,1,76
0x4072410,113,http://ask.fm/stylesheets/base_ltr_packaged.css?1377526500,http://ask.fm/,4,4,77
0x4073640,12,,http://ask.fm/,5,1,79
0x4246e70,12,,http://ask.fm/,6,1,87
0x42470c0,105,http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js,http://ask.fm/,7,1,88
0x4247d40,12,,http://ask.fm/,8,1,89
0x4248a90,85,http://ask.fm/javascripts/lib_packaged.js?1377526500,http://ask.fm/,9,1,92
0x4248ba0,12,,http://ask.fm/,10,1,94
0x4249820,12,,http://ask.fm/,11,1,99
0x408efe0,86,http://ask.fm/javascripts/base_packaged.js?1377526500,http://ask.fm/,12,1,103
0x4217da0,12,,http://ask.fm/,13,1,105
0x42168f0,12,,http://ask.fm/,14,1,109
0x421b360,12,,http://ask.fm/,15,1,113
0x42480f0,12,,http://ask.fm/,16,1,117
0x42487c0,12,,http://ask.fm/,17,1,127
0x424b710,12,,http://ask.fm/,18,1,129
0x424b8f0,12,,http://ask.fm/,19,1,133
0x424bfc0,45,,http://ask.fm/,20,1,161
0x425fbc0,31,,http://ask.fm/,21,1,331
0x4260610,90,http://www.googleadservices.com/pagead/conversion.js,http://ask.fm/,22,1,342
0x4091420,12,,http://ask.fm/,23,1,373
0x426f1f0,12,,http://ask.fm/,24,1,381
0x426f8d0,33,,http://ask.fm/,25,1,386
0x4218090,31,,http://ask.fm/,26,1,394
0x4270730,31,,http://ask.fm/,27,1,412
0x426f630,33,,http://ask.fm/,28,1,424
0x4270a70,8,,http://ask.fm/,29,1,432
0x425e3b0,31,,http://ask.fm/,30,1,446
0x4272220,10,,http://ask.fm/,31,1,460
0x4272800,33,,http://ask.fm/,32,1,464
