ResourceID,receivedTime,len
1,2262398.032498,280
1,2262398.077901,16451
4,2262398.334302,2448
4,2262398.334709,11121
4,2262398.335543,25011
4,2262398.336773,16522
2,2262398.340064,4591
2,2262398.34068,32768
2,2262398.34146,65536
2,2262398.342064,34183
2,2262398.343376,13146
3,2262398.500012,6879
3,2262398.500944,22076
3,2262398.506041,6720
3,2262398.507178,32768
3,2262398.507783,3731
6,2262398.592669,1780
6,2262398.593348,6275
5,2262398.59387,11009
5,2262398.594188,32768
5,2262398.594495,18937
22,2262399.030853,2299
22,2262399.05507,193
16,2262399.046031,2418
16,2262399.056217,2820
27,2262399.046488,1128
19,2262399.049544,2446
18,2262399.05272,793
17,2262399.053294,1071
21,2262399.053648,1501
15,2262399.053986,1291
23,2262399.054361,2054
24,2262399.054723,1898
26,2262399.055687,1256
25,2262399.059991,3619
25,2262399.060311,2039
7,2262399.060979,205
31,2262399.062164,1900
8,2262399.062476,2653
8,2262399.06275,1164
9,2262399.06351,3829
9,2262399.063767,1528
20,2262399.075151,1303
10,2262399.230776,1193
10,2262399.231439,4241
11,2262399.23883,3829
11,2262399.267926,1856
12,2262399.262303,3829
12,2262399.268392,1770
13,2262399.262662,187
14,2262399.269645,234
28,2262399.285337,167
30,2262399.356941,1508
30,2262399.357158,32768
30,2262399.357405,5591
29,2262399.414729,42
40,2262399.415522,35
32,2262399.420079,269
33,2262399.448411,121
34,2262399.451805,1269
35,2262399.452977,128
36,2262399.468469,136
37,2262399.470802,2039
38,2262399.606978,72
